doc_code,t1,t2,t3,c1,c2,c3,c4,title,content,image,table,appendix,math_exp,attachment,reference,enclosure_image,enclosure,asterisk,appendix_table
,,,,,,,,,,,,,,,,,,,
C-30-2020,4.,,,,,,,강관비계 작업의 준비와 관리,,,,,,,,,,,
C-30-2020,4.,4.1,,,,,,준비,,,,,,,,,,,
C-30-2020,4.,4.1,,(1),,,,,"작업계획, 작업내용 등을 충분히 검토하고 비계의 조립도에 따라 다음 사항을 확인하여야 한다.",,,,,,,,,,
C-30-2020,4.,4.1,,(1),(가),,,,강관비계용 재료의 안전인증품 여부,,,,,,,,,,
C-30-2020,4.,4.1,,(1),(나),,,,"비계의 치수(높이, 길이, 폭)",,,,,,,,,,
C-30-2020,4.,4.1,,(1),(다),,,,구조물의 형태와 구조물과 비계 사이 간격,,,,,,,,,,
C-30-2020,4.,4.1,,(1),(라),,,,"작업발판, 안전난간, 가설통로 및 낙하물방지망, 수직보호망 등의 설치계획",,,,,,,,,,
C-30-2020,4.,4.1,,(1),(마),,,,"보강 방법(출입구, 단부, 우각부 등)",,,,,,,,,,
C-30-2020,4.,4.1,,(1),(바),,,,비계 높이가 31m 이상이거나 발주자 또는 인ㆍ허가기관의 장이 필요하다고 인정하는 비계는 관계전문가(건설기술진흥법 시행령 101조의2에 따른다)로부터 구조적 안전성을 확인받아야 한다.,,,,,,,,,,
C-30-2020,4.,4.1,,(2),,,,,작업현장 및 주변의 상황 등 다음 사항을 확인하여야 한다.,,,,,,,,,,
C-30-2020,4.,4.1,,(2),(가),,,,부지내 공지의 상황(자재의 적치장소 등),,,,,,,,,,
C-30-2020,4.,4.1,,(2),(나),,,,장애물의 유무,,,,,,,,,,
C-30-2020,4.,4.1,,(2),(다),,,,인접건축물과의 간섭여부,,,,,,,,,,
C-30-2020,4.,4.1,,(2),(라),,,,가공전로의 방호상황,,,,,,,,,,
C-30-2020,4.,4.1,,(2),(마),,,,주변도로의 상황(교통량 및 도로의 폭등),,,,,,,,,,
